epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,428.185,1.0116,1.4969,0.80254,1.0675,0.84334,0.80907,0.84928,0.6049,0.84334,0.80907,0.84886,0.57727,1.00223,1.56494,0.70441,0.96787,0.0014258,0.0014258,0.0014258
31,442.422,0.99766,1.46762,0.80133,1.0549,0.85469,0.81214,0.84446,0.59033,0.86146,0.8267,0.85803,0.56759,1.01346,1.58062,0.713,0.97647,0.001406,0.001406,0.001406
32,456.615,1.00057,1.46499,0.77194,1.06236,0.89465,0.81214,0.86322,0.61021,0.89465,0.81214,0.87406,0.57845,1.00708,1.5672,0.65645,0.96335,0.0013862,0.0013862,0.0013862
33,470.843,0.98948,1.45947,0.75148,1.06433,0.858,0.81214,0.85634,0.60701,0.86441,0.81792,0.86416,0.58548,1.00573,1.49819,0.70856,0.9703,0.0013664,0.0013664,0.0013664
34,485.023,0.99842,1.42594,0.75249,1.05591,0.87566,0.77168,0.82741,0.58254,0.8862,0.78035,0.8453,0.56716,1.04534,1.64298,0.73101,0.995,0.0013466,0.0013466,0.0013466
35,499.214,0.98889,1.4505,0.74493,1.05866,0.8658,0.79769,0.85035,0.61158,0.88097,0.81287,0.86738,0.59063,0.9842,1.52415,0.67693,0.96943,0.0013268,0.0013268,0.0013268
36,513.568,1.00005,1.46099,0.76423,1.06211,0.86326,0.81792,0.85521,0.60267,0.86326,0.81792,0.85211,0.57506,0.99114,1.54139,0.69303,0.95512,0.001307,0.001307,0.001307
37,528.054,0.98807,1.4603,0.74192,1.06249,0.85003,0.80271,0.85207,0.60694,0.85854,0.80685,0.85907,0.57672,0.99635,1.50084,0.67679,0.96276,0.0012872,0.0012872,0.0012872
38,542.33,0.96954,1.4291,0.72365,1.05592,0.87889,0.79769,0.8637,0.59838,0.87857,0.79769,0.86552,0.56191,1.01909,1.62385,0.67207,0.97866,0.0012674,0.0012674,0.0012674
39,556.72,0.95529,1.39413,0.72306,1.03533,0.8688,0.81503,0.86288,0.60186,0.88441,0.81819,0.86936,0.58682,1.02747,1.53635,0.714,0.97286,0.0012476,0.0012476,0.0012476
40,571.093,0.96286,1.38849,0.73299,1.04803,0.86224,0.81405,0.85439,0.60952,0.86837,0.81983,0.86154,0.57892,1.01042,1.64067,0.67271,0.97049,0.0012278,0.0012278,0.0012278
41,585.312,0.96445,1.399,0.71938,1.0382,0.8472,0.8526,0.87231,0.60784,0.85151,0.85549,0.8781,0.58923,1.02674,1.48475,0.67202,0.96068,0.001208,0.001208,0.001208
42,599.581,0.95756,1.3854,0.72012,1.04899,0.86952,0.82948,0.86611,0.60984,0.89076,0.82081,0.8727,0.58391,1.01994,1.5934,0.65051,0.97145,0.0011882,0.0011882,0.0011882
43,613.889,0.97598,1.42987,0.72601,1.04986,0.85539,0.80347,0.84619,0.59415,0.862,0.80925,0.85472,0.57164,1.00948,1.53012,0.6963,0.96514,0.0011684,0.0011684,0.0011684
44,628.247,0.94027,1.35356,0.71319,1.03163,0.8925,0.81214,0.86086,0.62006,0.89885,0.81792,0.87631,0.59673,0.9845,1.55948,0.63797,0.95319,0.0011486,0.0011486,0.0011486
45,642.617,0.94856,1.39307,0.71033,1.03277,0.88613,0.80964,0.86496,0.60853,0.88544,0.81503,0.86428,0.57218,0.9931,1.56296,0.70595,0.94994,0.0011288,0.0011288,0.0011288
46,656.901,0.91695,1.354,0.68782,1.02799,0.84798,0.82081,0.86137,0.61331,0.85096,0.8237,0.86804,0.58888,0.97212,1.49842,0.69201,0.95275,0.001109,0.001109,0.001109
47,671.158,0.92766,1.36141,0.68865,1.02878,0.85782,0.81792,0.86105,0.6109,0.86688,0.82816,0.87151,0.58255,1.01228,1.53005,0.6745,0.97097,0.0010892,0.0010892,0.0010892
48,685.399,0.93605,1.3624,0.69244,1.03443,0.85021,0.80385,0.84533,0.60209,0.84404,0.79769,0.84765,0.56928,0.99647,1.61266,0.67022,0.9623,0.0010694,0.0010694,0.0010694
49,699.739,0.92321,1.33823,0.68187,1.01983,0.83186,0.83526,0.86165,0.61302,0.82865,0.83237,0.86555,0.58629,1.01182,1.53571,0.64824,0.96585,0.0010496,0.0010496,0.0010496
50,714.262,0.91626,1.34821,0.68726,1.02898,0.89241,0.80925,0.87132,0.62025,0.88477,0.80925,0.86684,0.59728,1.0023,1.4879,0.64951,0.95578,0.0010298,0.0010298,0.0010298
51,728.787,0.9064,1.33169,0.67529,1.02467,0.86875,0.80345,0.84443,0.59921,0.87187,0.80634,0.8494,0.56861,0.98447,1.55746,0.70341,0.96556,0.00101,0.00101,0.00101
52,743.261,0.92204,1.35051,0.67419,1.02296,0.8549,0.80347,0.85632,0.61766,0.86244,0.80925,0.86861,0.58775,0.97567,1.54135,0.66514,0.95842,0.0009902,0.0009902,0.0009902
53,757.827,0.8964,1.34405,0.66894,1.02427,0.88673,0.81449,0.86512,0.62283,0.89929,0.82584,0.88063,0.60201,0.94782,1.49443,0.64183,0.9444,0.0009704,0.0009704,0.0009704
54,772.173,0.91009,1.34095,0.67475,1.02317,0.92406,0.77368,0.86779,0.61946,0.92387,0.80669,0.88475,0.59803,1.01853,1.45662,0.64137,0.96355,0.0009506,0.0009506,0.0009506
55,786.799,0.89676,1.30708,0.65673,1.01095,0.88405,0.80058,0.86377,0.6131,0.88755,0.7984,0.86725,0.59211,0.99477,1.48369,0.63963,0.95544,0.0009308,0.0009308,0.0009308
56,801.328,0.92146,1.32137,0.67339,1.02104,0.86704,0.8293,0.87117,0.61027,0.87575,0.83522,0.87957,0.59361,1.00843,1.46655,0.63767,0.95319,0.000911,0.000911,0.000911
57,815.833,0.89081,1.25817,0.65053,1.00683,0.83731,0.84682,0.86044,0.61805,0.8701,0.85177,0.88232,0.59481,0.98845,1.53104,0.63556,0.9538,0.0008912,0.0008912,0.0008912
58,830.165,0.89205,1.30326,0.64725,1.01303,0.88161,0.7748,0.8553,0.60969,0.85159,0.8126,0.86797,0.59099,0.99662,1.57395,0.64433,0.96785,0.0008714,0.0008714,0.0008714
59,844.681,0.89943,1.3341,0.65579,1.01298,0.885,0.80058,0.86025,0.62437,0.88204,0.82126,0.87862,0.59979,0.97706,1.50826,0.62285,0.94916,0.0008516,0.0008516,0.0008516
60,859.044,0.87459,1.29631,0.64395,1.00592,0.8786,0.81579,0.87854,0.63199,0.88189,0.82003,0.88425,0.5994,0.97612,1.53088,0.62798,0.94974,0.0008318,0.0008318,0.0008318
61,873.49,0.8887,1.30206,0.64206,1.0034,0.86713,0.84393,0.87693,0.63947,0.8701,0.84682,0.88063,0.60272,0.94483,1.48221,0.61803,0.94365,0.000812,0.000812,0.000812
62,887.723,0.87599,1.26671,0.62852,0.99885,0.85978,0.83289,0.86281,0.62811,0.86873,0.84156,0.87317,0.59089,0.97616,1.51832,0.62771,0.95613,0.0007922,0.0007922,0.0007922
63,902.244,0.87203,1.27407,0.62234,1.00499,0.86978,0.81792,0.85706,0.61815,0.87285,0.82081,0.86854,0.5987,0.9728,1.51826,0.63039,0.95958,0.0007724,0.0007724,0.0007724
64,916.706,0.87142,1.27137,0.62355,0.99914,0.88382,0.81353,0.86623,0.63299,0.88696,0.81642,0.87698,0.60884,0.93391,1.47948,0.62186,0.93726,0.0007526,0.0007526,0.0007526
65,931.241,0.8642,1.27179,0.61713,0.9948,0.88986,0.81503,0.86904,0.62223,0.8955,0.81792,0.87174,0.5994,0.96934,1.46404,0.62848,0.95042,0.0007328,0.0007328,0.0007328
66,945.879,0.87055,1.27836,0.61452,0.99726,0.85311,0.82253,0.86213,0.62826,0.85602,0.82659,0.86769,0.59808,0.95371,1.48963,0.63191,0.94491,0.000713,0.000713,0.000713
67,960.392,0.87353,1.28345,0.61968,0.99579,0.86276,0.82948,0.86438,0.62924,0.87334,0.83526,0.86693,0.59862,0.9415,1.45743,0.6367,0.94649,0.0006932,0.0006932,0.0006932
68,974.875,0.85481,1.27097,0.60907,0.99559,0.89859,0.82948,0.87346,0.62635,0.90534,0.83526,0.87915,0.59838,0.96249,1.46407,0.60754,0.94673,0.0006734,0.0006734,0.0006734
69,990.254,0.83005,1.2323,0.59057,0.98382,0.88879,0.80846,0.87011,0.63743,0.89515,0.81424,0.88048,0.60426,0.93946,1.51148,0.5989,0.93722,0.0006536,0.0006536,0.0006536
70,1005.6,0.83081,1.24558,0.59188,0.986,0.88225,0.8237,0.87581,0.63216,0.89326,0.80347,0.87819,0.60005,0.93041,1.50054,0.61999,0.94077,0.0006338,0.0006338,0.0006338
71,1020.54,0.8344,1.22268,0.58153,0.98626,0.8971,0.81792,0.87536,0.63508,0.90993,0.82081,0.88151,0.60195,0.95433,1.44173,0.6093,0.94159,0.000614,0.000614,0.000614
