epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,402.034,0.9874,1.45578,0.76069,1.06473,0.87232,0.80636,0.86631,0.62082,0.8817,0.81503,0.87434,0.60228,0.99408,1.49116,0.6544,0.95937,0.0014258,0.0014258,0.0014258
31,415.357,0.97342,1.42939,0.7681,1.05972,0.84679,0.82659,0.85972,0.60097,0.86666,0.80779,0.85994,0.57991,1.00876,1.53894,0.70546,0.97402,0.001406,0.001406,0.001406
32,428.853,0.98335,1.42507,0.75044,1.05947,0.90509,0.79769,0.87116,0.60572,0.90538,0.79191,0.87102,0.58289,1.00685,1.52392,0.64845,0.97293,0.0013862,0.0013862,0.0013862
33,442.413,0.97079,1.43121,0.7227,1.06097,0.86925,0.80699,0.86631,0.61748,0.90211,0.80636,0.87685,0.59784,0.99203,1.50076,0.65147,0.97001,0.0013664,0.0013664,0.0013664
34,455.925,0.97653,1.39272,0.73377,1.05327,0.88608,0.79191,0.86511,0.60458,0.89058,0.79769,0.8755,0.59415,1.03993,1.48955,0.68792,0.98955,0.0013466,0.0013466,0.0013466
35,469.354,0.96985,1.42921,0.73422,1.05838,0.85758,0.7948,0.86818,0.60643,0.86516,0.80636,0.87284,0.59081,1.00338,1.54349,0.66554,0.98115,0.0013268,0.0013268,0.0013268
36,482.887,0.97205,1.42846,0.7334,1.05994,0.88,0.80925,0.86092,0.60896,0.88036,0.80812,0.87031,0.57997,0.99159,1.51644,0.68281,0.96441,0.001307,0.001307,0.001307
37,496.442,0.96038,1.42167,0.72366,1.05423,0.81984,0.82856,0.85011,0.60051,0.81879,0.83579,0.86253,0.59476,1.01499,1.44313,0.67744,0.98058,0.0012872,0.0012872,0.0012872
38,510.045,0.94899,1.38015,0.72025,1.05626,0.8745,0.80555,0.85652,0.59906,0.87905,0.80636,0.85612,0.57128,1.01168,1.54119,0.68355,0.97168,0.0012674,0.0012674,0.0012674
39,523.402,0.92705,1.33228,0.69533,1.03232,0.84122,0.81154,0.85016,0.60537,0.88169,0.7948,0.85431,0.59165,0.99882,1.50288,0.69992,0.97961,0.0012476,0.0012476,0.0012476
40,536.802,0.93853,1.35722,0.70076,1.04026,0.83174,0.78575,0.83885,0.59033,0.82481,0.80347,0.8471,0.56752,1.01582,1.62585,0.68309,0.99056,0.0012278,0.0012278,0.0012278
41,550.32,0.95053,1.37436,0.69658,1.0415,0.87316,0.81572,0.87165,0.6235,0.87329,0.81671,0.87062,0.59796,0.98126,1.44427,0.64475,0.95187,0.001208,0.001208,0.001208
42,563.616,0.94229,1.3543,0.69456,1.03815,0.86118,0.80925,0.85612,0.61835,0.86425,0.81214,0.86422,0.60216,0.97806,1.54038,0.65009,0.96249,0.0011882,0.0011882,0.0011882
43,577.149,0.96101,1.38217,0.69633,1.05126,0.8389,0.82948,0.86958,0.61094,0.8516,0.81214,0.86441,0.59251,0.99727,1.47446,0.63937,0.96621,0.0011684,0.0011684,0.0011684
44,590.728,0.92751,1.33318,0.68504,1.03591,0.84732,0.81792,0.85819,0.6142,0.83949,0.8163,0.85923,0.58878,0.98227,1.49658,0.63336,0.9675,0.0011486,0.0011486,0.0011486
45,604.265,0.91999,1.36897,0.69809,1.02591,0.86516,0.77457,0.854,0.61669,0.8433,0.8088,0.86454,0.59652,0.97591,1.51242,0.63688,0.94953,0.0011288,0.0011288,0.0011288
46,617.756,0.90053,1.32577,0.6574,1.02301,0.89674,0.80319,0.86309,0.61256,0.90316,0.8086,0.87063,0.59505,0.98824,1.43065,0.64377,0.96085,0.001109,0.001109,0.001109
47,631.331,0.91484,1.31978,0.66716,1.02917,0.87096,0.79979,0.85107,0.59752,0.87411,0.80269,0.85624,0.57769,1.01783,1.52165,0.65597,0.97219,0.0010892,0.0010892,0.0010892
48,644.711,0.90747,1.33726,0.66477,1.02499,0.85719,0.79803,0.85462,0.6068,0.8634,0.80381,0.86248,0.58656,0.98741,1.56871,0.6331,0.97076,0.0010694,0.0010694,0.0010694
49,658.16,0.9143,1.3062,0.66191,1.02654,0.89933,0.82659,0.86852,0.62715,0.89933,0.82659,0.87325,0.60584,0.96716,1.40571,0.60529,0.962,0.0010496,0.0010496,0.0010496
50,671.471,0.90046,1.3062,0.66738,1.0269,0.86108,0.82408,0.86384,0.61869,0.87581,0.8237,0.87263,0.59752,0.99966,1.47165,0.64149,0.97277,0.0010298,0.0010298,0.0010298
51,684.873,0.88524,1.2859,0.64403,1.01611,0.85008,0.81943,0.85528,0.60942,0.84628,0.82948,0.86051,0.59143,0.9634,1.45727,0.65852,0.95573,0.00101,0.00101,0.00101
52,698.075,0.89801,1.29577,0.64736,1.02122,0.86025,0.82659,0.85413,0.61116,0.86607,0.80367,0.84813,0.57987,0.97179,1.51074,0.67932,0.95157,0.0009902,0.0009902,0.0009902
53,711.44,0.88465,1.31274,0.65036,1.0263,0.90557,0.78324,0.86835,0.62886,0.89564,0.7937,0.87045,0.60481,0.94358,1.46211,0.63069,0.95158,0.0009704,0.0009704,0.0009704
